agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1924	3	1367
USGS	14064500	00060	5	1924	4	1407
USGS	14064500	00060	5	1924	5	1274
USGS	14064500	00060	5	1924	6	1367
USGS	14064500	00060	5	1924	7	1239
USGS	14064500	00060	5	1924	8	1165
USGS	14064500	00060	5	1924	9	1096
USGS	14064500	00060	5	1924	10	1066
USGS	14064500	00060	5	1924	11	1203
USGS	14064500	00060	5	1924	12	1073
USGS	14064500	00060	5	1925	1	1166
USGS	14064500	00060	5	1925	2	1451
USGS	14064500	00060	5	1925	3	1294
USGS	14064500	00060	5	1925	4	1511
USGS	14064500	00060	5	1925	5	1669
USGS	14064500	00060	5	1925	6	1615
USGS	14064500	00060	5	1925	7	1534
USGS	14064500	00060	5	1925	8	1614
USGS	14064500	00060	5	1925	9	1466
USGS	14064500	00060	5	1925	10	1390
USGS	14064500	00060	5	1925	11	1350
USGS	14064500	00060	5	1925	12	1315
USGS	14064500	00060	5	1926	1	1226
USGS	14064500	00060	5	1926	2	1303
USGS	14064500	00060	5	1926	3	1254
USGS	14064500	00060	5	1926	4	1226
USGS	14064500	00060	5	1926	5	1216
USGS	14064500	00060	5	1926	6	1171
USGS	14064500	00060	5	1926	7	1236
USGS	14064500	00060	5	1926	8	1110
USGS	14064500	00060	5	1926	9	1049
USGS	14064500	00060	5	1926	10	1049
USGS	14064500	00060	5	1926	11	1125
USGS	14064500	00060	5	1926	12	1218
USGS	14064500	00060	5	1927	1	1145
USGS	14064500	00060	5	1927	2	1185
USGS	14064500	00060	5	1927	3	1284
USGS	14064500	00060	5	1927	4	1346
USGS	14064500	00060	5	1927	5	1669
USGS	14064500	00060	5	1927	6	1558
USGS	14064500	00060	5	1927	7	1420
USGS	14064500	00060	5	1927	8	1516
USGS	14064500	00060	5	1927	9	1453
USGS	14064500	00060	5	1927	10	1396
USGS	14064500	00060	5	1927	11	1454
USGS	14064500	00060	5	1927	12	1519
USGS	14064500	00060	5	1928	1	1423
USGS	14064500	00060	5	1928	2	1357
USGS	14064500	00060	5	1928	3	1450
USGS	14064500	00060	5	1928	4	1512
USGS	14064500	00060	5	1928	5	1576
USGS	14064500	00060	5	1928	6	1517
USGS	14064500	00060	5	1928	7	1480
USGS	14064500	00060	5	1928	8	1487
USGS	14064500	00060	5	1928	9	1320
USGS	14064500	00060	5	1928	10	1225
USGS	14064500	00060	5	1928	11	1227
USGS	14064500	00060	5	1928	12	1162
USGS	14064500	00060	5	1929	1	1109
USGS	14064500	00060	5	1929	2	1030
USGS	14064500	00060	5	1929	3	1155
USGS	14064500	00060	5	1929	4	1134
USGS	14064500	00060	5	1929	5	1205
USGS	14064500	00060	5	1929	6	1290
USGS	14064500	00060	5	1929	7	1254
USGS	14064500	00060	5	1929	8	1234
USGS	14064500	00060	5	1929	9	1118
USGS	14064500	00060	5	1929	10	1051
USGS	14064500	00060	5	1929	11	1020
USGS	14064500	00060	5	1929	12	1119
USGS	14064500	00060	5	1930	1	989.4
USGS	14064500	00060	5	1930	2	1171
USGS	14064500	00060	5	1930	3	1105
